Season,Date,Time,Home,Away,HG,AG,Res,Referee,Home_Shots,Away_Shots,Home_Shots_Target,Away_Shots_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Prior_Matches,Away_Prior_Matches,Home_Prior_Home_Matches,Away_Prior_Away_Matches,Home_Pts_Last5,Away_Pts_Last5,Home_GS_Last5,Home_GC_Last5,Away_GS_Last5,Away_GC_Last5,Home_GD_Last5,Away_GD_Last5,Home_Home_Pts_Last5,Home_Home_GS_Last5,Home_Home_GC_Last5,Away_Away_Pts_Last5,Away_Away_GS_Last5,Away_Away_GC_Last5,Pts_Diff,GD_Diff,Home_Venue_Pts_Diff,Venue_GD_Diff,Home_Shots_Last5,Away_Shots_Last5,Home_ShotsTarget_Last5,Away_ShotsTarget_Last5,Home_Corners_Last5,Away_Corners_Last5,Home_Fouls_Last5,Away_Fouls_Last5,Home_Yellow_Last5,Away_Yellow_Last5,Home_Red_Last5,Away_Red_Last5,Home_Shots_Against_Last5,Away_Shots_Against_Last5,Home_ShotsTarget_Against_Last5,Away_ShotsTarget_Against_Last5,Home_Corners_Against_Last5,Away_Corners_Against_Last5,Home_Fouls_Against_Last5,Away_Fouls_Against_Last5,Home_Yellow_Against_Last5,Away_Yellow_Against_Last5,Home_Red_Against_Last5,Away_Red_Against_Last5,Home_Home_Shots_Last5,Away_Away_Shots_Last5,Home_Home_ShotsTarget_Last5,Away_Away_ShotsTarget_Last5,Home_Home_Corners_Last5,Away_Away_Corners_Last5,Home_Home_Fouls_Last5,Away_Away_Fouls_Last5,Home_Home_Yellow_Last5,Away_Away_Yellow_Last5,Home_Home_Red_Last5,Away_Away_Red_Last5,Shots_Diff,ShotsTarget_Diff,Corners_Diff,Fouls_Diff,Yellow_Diff,Red_Diff,Home_Elo,Away_Elo,Elo_Diff,H2H_Prior_Matches,H2H_Home_Pts_Last5,H2H_Away_Pts_Last5,H2H_Home_GS_Last5,H2H_Away_GS_Last5,H2H_Pts_Diff,H2H_GD_Diff,Referee_Prior_Matches,Referee_Avg_Goals_Last10,Referee_Avg_Yellows_Last10,Referee_Avg_Reds_Last10,Referee_Home_Win_Rate_Last10
2015/16,2015-08-14,,Aston Villa,Man United,0,1,A,M Dean,5,9,1,2,3,5,14,10,2,2,0,0,1,1,0,0,3,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,9,3,1,3,1,13,12,4,2,0,0,11,9,2,4,6,2,13,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,2,1,2,0,1512.8012999960577,1507.1987000039423,5.602599992115302,0,0,0,0,0,0,0,1,3.0,5.0,0.0,0.0
2015/16,2015-08-15,,Southampton,Everton,0,3,A,M Oliver,17,10,4,4,9,9,11,10,4,2,0,0,1,1,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,15,10,5,5,6,8,12,7,4,1,0,0,9,11,4,5,6,2,9,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,-2,5,3,0,1502.8012999960577,1497.1987000039423,5.602599992115302,0,0,0,0,0,0,0,1,4.0,4.0,1.0,0.0
2015/16,2015-08-15,,Sunderland,Norwich,1,3,A,K Friend,6,19,2,6,6,6,7,7,1,2,0,0,1,1,0,0,0,0,2,4,1,3,-2,-2,0,0,0,0,0,0,0,0,0,0,10,17,5,6,3,1,17,14,4,1,0,0,19,11,8,7,6,4,13,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-1,2,3,3,0,1492.8012999960577,1487.1987000039423,5.602599992115302,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015/16,2015-08-15,,Swansea,Newcastle,2,0,H,M Jones,19,4,6,2,4,4,11,8,2,1,0,1,1,1,0,0,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,9,10,4,8,6,16,9,3,2,0,0,11,15,3,5,4,6,15,12,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2,7,1,0,1502.8012999960577,1497.1987000039423,5.602599992115302,0,0,0,0,0,0,0,1,4.0,3.0,0.0,0.0
2015/16,2015-08-15,,Tottenham,Stoke,2,2,D,R Madley,13,16,7,7,4,3,15,11,2,2,0,0,1,1,0,0,0,0,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,9,7,4,1,2,3,12,9,3,2,0,0,9,8,1,3,1,5,12,16,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1,3,1,0,1492.8012999960577,1487.1987000039423,5.602599992115302,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015/16,2015-08-15,,Watford,West Brom,0,0,D,P Tierney,16,6,5,0,2,4,13,10,1,2,0,0,1,1,0,0,1,0,2,2,0,3,0,-3,0,0,0,0,0,0,1,3,0,0,11,9,5,2,2,6,13,12,2,4,0,0,10,19,5,7,8,6,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-4,1,-2,0,1502.8012999960577,1487.1987000039423,15.602599992115302,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015/16,2015-08-15,,West Ham,Leicester,1,2,A,A Taylor,10,11,3,6,8,4,11,12,1,3,1,0,1,1,0,0,3,3,2,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,8,19,4,8,4,6,9,13,3,2,0,0,22,10,6,5,5,3,12,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-4,-2,-4,1,0,1512.8012999960577,1507.1987000039423,5.602599992115302,0,0,0,0,0,0,0,1,1.0,6.0,0.0,0.0
2015/16,2015-08-16,,Crystal Palace,Arsenal,1,2,A,L Mason,11,20,4,7,6,6,14,12,1,1,0,0,1,1,0,0,3,0,3,1,0,2,2,-2,0,0,0,0,0,0,3,4,0,0,11,22,7,6,4,5,20,12,0,1,0,0,17,8,6,4,1,4,14,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,1,-1,8,-1,0,1512.8012999960577,1487.1987000039423,25.6025999921153,0,0,0,0,0,0,0,1,6.0,6.0,0.0,1.0
2015/16,2015-08-16,,Man City,Chelsea,3,0,H,M Atkinson,18,10,8,3,5,1,19,13,4,2,0,0,1,1,0,0,3,1,3,0,2,2,3,0,0,0,0,0,0,0,2,3,0,0,19,11,7,3,6,4,9,15,1,1,0,1,9,18,2,10,6,8,12,16,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,-6,0,-1,1512.8012999960577,1497.1987000039423,15.602599992115302,0,0,0,0,0,0,0,1,2.0,4.0,0.0,0.0
2015/16,2015-08-17,,Liverpool,Bournemouth,1,0,H,C Pawson,18,13,2,2,6,8,11,18,1,4,0,0,1,1,0,0,3,0,1,0,0,1,1,-1,0,0,0,0,0,0,3,2,0,0,8,11,3,2,5,6,16,13,4,3,0,0,7,7,1,3,3,3,9,13,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1,-1,3,1,0,1512.8012999960577,1487.1987000039423,25.6025999921153,0,0,0,0,0,0,0,1,4.0,6.0,0.0,0.0
2015/16,2015-08-22,,Crystal Palace,Aston Villa,2,1,H,K Stroud,16,11,6,2,6,4,12,15,3,3,0,0,2,2,1,1,3,3,4,3,1,1,1,0,0,1,2,3,1,0,0,1,-3,-2,22,12,11,4,10,6,34,27,1,6,0,0,37,20,13,4,7,11,26,23,2,5,0,0,11,7,4,3,6,3,14,13,1,4,0,0,10,7,4,7,-5,0,1499.3358366874975,1499.8520794225028,-0.5162427350053349,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015/16,2015-08-22,,Leicester,Tottenham,1,1,D,M Atkinson,13,19,2,6,2,7,7,14,1,4,0,0,2,2,1,1,6,1,6,3,2,3,3,-1,3,4,2,0,0,1,5,4,3,3,30,22,14,11,10,6,25,27,5,5,0,0,20,25,8,8,11,4,28,23,5,4,1,0,19,9,8,4,6,2,13,12,2,3,0,0,8,3,4,-2,0,0,1520.1479205774972,1489.8520794225028,30.295841154994378,0,0,0,0,0,0,0,2,2.5,5.0,0.0,0.5
2015/16,2015-08-22,,Man United,Newcastle,0,0,D,C Pawson,20,7,8,0,11,5,15,11,2,2,0,0,2,2,1,1,6,1,2,0,2,4,2,-2,3,1,0,0,0,2,5,4,3,3,18,13,3,6,6,10,22,17,4,3,0,1,14,34,5,11,5,10,26,23,5,6,0,0,9,4,1,2,1,4,12,8,2,1,0,1,5,-3,-4,5,1,-1,1520.1479205774972,1490.1479205774972,30.0,0,0,0,0,0,0,0,2,2.5,5.5,0.0,0.5
2015/16,2015-08-22,,Norwich,Stoke,1,1,D,M Dean,21,6,7,1,9,0,16,5,4,1,0,0,2,2,1,1,3,1,4,4,2,3,0,-1,0,1,3,1,2,2,2,1,-1,-2,36,23,12,8,7,6,21,20,3,4,0,0,17,21,9,10,10,9,27,31,1,6,0,0,17,16,6,7,1,3,14,11,1,2,0,0,13,4,1,1,-1,0,1500.1479205774972,1490.1479205774972,10.0,0,0,0,0,0,0,0,2,2.0,4.5,0.0,0.0
2015/16,2015-08-22,,Sunderland,Swansea,1,1,D,N Swarbrick,10,20,2,9,3,4,16,9,4,2,0,0,2,2,1,1,0,4,3,7,4,2,-4,2,0,1,3,1,2,2,-4,-6,-1,-2,16,37,7,16,9,12,24,27,5,5,0,0,38,15,14,5,12,8,20,23,4,2,0,2,6,18,2,10,6,8,7,16,1,3,0,0,-21,-9,-3,-3,0,0,1479.8520794225028,1509.8520794225028,-30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015/16,2015-08-22,,West Ham,Bournemouth,3,4,A,J Moss,10,15,4,7,5,4,8,11,0,0,1,0,2,2,1,1,3,0,3,2,0,2,1,-2,0,1,2,0,0,1,3,3,0,0,18,24,7,4,12,14,20,31,4,7,1,0,33,25,12,5,9,9,24,24,4,5,0,0,10,13,3,2,8,8,11,18,1,4,1,0,-6,3,-2,-11,-3,1,1499.8520794225028,1480.6641633125025,19.187916110000288,0,0,0,0,0,0,0,1,1.0,5.0,0.0,1.0
2015/16,2015-08-23,,Everton,Man City,0,2,A,A Taylor,10,16,1,9,8,7,5,7,0,3,0,0,2,2,1,1,4,6,5,2,6,0,3,6,1,2,2,3,3,0,-2,-3,-2,-3,20,37,9,15,17,11,17,28,3,5,0,0,28,19,9,5,11,7,24,25,6,6,0,0,10,19,5,7,8,6,7,9,1,1,0,0,-17,-6,6,-11,-2,0,1510.1479205774972,1519.59157410193,-9.443653524432875,0,0,0,0,0,0,0,2,2.0,5.0,0.5,0.0
2015/16,2015-08-23,,Watford,Southampton,0,0,D,A Marriner,13,14,0,5,5,2,10,11,0,2,0,0,2,2,1,1,2,1,2,2,2,5,0,-3,1,0,0,1,2,2,1,3,0,0,27,32,10,9,4,15,26,23,3,8,0,0,16,19,5,8,12,15,17,19,3,4,0,0,16,15,5,5,2,6,13,12,1,4,0,0,-5,1,-11,3,-5,0,1499.59157410193,1489.8520794225028,9.739494679427253,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2015/16,2015-08-23,,West Brom,Chelsea,2,3,A,M Clattenburg,15,15,6,5,8,7,9,12,2,1,0,1,2,2,1,1,1,1,0,3,2,5,-3,-3,0,0,3,0,0,3,0,0,0,0,15,21,2,6,10,5,22,28,6,3,0,1,35,36,12,18,8,13,22,35,2,7,0,0,9,10,2,3,6,1,12,13,4,2,0,0,-6,-4,5,-6,3,-1,1490.40842589807,1490.40842589807,0.0,0,0,0,0,0,0,0,1,1.0,7.0,0.0,0.0
